name,part_url,price,channels,channel_wattage,pwm,form_factor,color
ARCTIC Case Fan Hub,https://pcpartpicker.com/product/cyNYcf/arctic-case-fan-hub-fan-controller-acfan00175a,12.43,10,,true,,Black
Razer RZ34-02140700-R3M1,https://pcpartpicker.com/product/Nrstt6/razer-rz34-02140700-r3m1-fan-controller-rz34-02140700-r3m1,57.99,8,,true,,Black
Lian Li UNI HUB – SL Controller,https://pcpartpicker.com/product/2YMMnQ/lian-li-uni-hub-sl-controller-fan-controller-uf-in-l-connect3-wt,,4,,true,,Black
NZXT RGB & Fan Controller (2022),https://pcpartpicker.com/product/vB8bt6/nzxt-rgb-fan-controller-2022-fan-controller-ac-crfr0-b1,54.98,3,36,true,,Black
Noctua NA-FH1,https://pcpartpicker.com/product/mHYRsY/noctua-na-fh1-fan-controller-na-fh1,36.95,8,6,true,,Black
Thermalright TL-FAN and ARGB HUB x8,https://pcpartpicker.com/product/wfLdnQ/thermalright-tl-fan-and-argb-hub-x8-fan-controller-tl-fan-and-argb-hub-x8,,4,,true,,Black
Noctua NV-FH2,https://pcpartpicker.com/product/s96NnQ/noctua-nv-fh2-fan-controller-nv-fh2,58.95,8,,true,,Black
Thermalright TL-FAN-HUB-Controller,https://pcpartpicker.com/product/DzV2FT/thermalright-tl-fan-hub-controller-fan-controller-tl-fan-hub-controller,10.59,4,,true,,Black
Cooler Master MasterFan ARGB and PWM HUB,https://pcpartpicker.com/product/7dzp99/cooler-master-masterfan-argb-and-pwm-hub-fan-controller-mfx-zhhn-1nnn6-r1,,6,,true,,Black
DARKROCK DR-FAN-CONTROLLER,https://pcpartpicker.com/product/NbxTwP/darkrock-dr-fan-controller-fan-controller-dr-fan-controller,17.99,10,,true,,Black
Lian Li UNI HUB – SLV2 Controller,https://pcpartpicker.com/product/kjh2FT/lian-li-uni-hub-slv2-controller-fan-controller-12slv2-cont3b,,4,,true,,Black
Thermaltake Commander FT,https://pcpartpicker.com/product/XnnG3C/thermaltake-commander-ft-fan-controller-ac-010-b51nan-a1,54.98,5,10,true,5.25,
Lian Li UNI HUB – SLV2 Controller,https://pcpartpicker.com/product/rmBFf7/lian-li-uni-hub-slv2-controller-fan-controller-12slv2-cont3w,,4,,true,,White
Thermalright TL-FAN-HUB Controller Rev.A,https://pcpartpicker.com/product/MYZXsY/thermalright-tl-fan-hub-controller-reva-fan-controller-tl-fan-hub-controller-reva,,10,,true,,Black
EZDIY-FAB US-12V 5V fan hub-16P,https://pcpartpicker.com/product/FpVfrH/ezdiy-fab-us-12v-5v-fan-hub-16p-fan-controller-us-12v-5v-fan-hub-16p,27.99,8,,true,,Black
Deepcool FH-04,https://pcpartpicker.com/product/9DWJ7P/deepcool-fh-04-fan-controller-dp-f04pwm-hub,,4,,true,,Black
Phanteks Nexlinq,https://pcpartpicker.com/product/mbcBD3/phanteks-nexlinq-fan-controller-ph-nlhub_01,,3,,true,,Black
Deepcool FH-10,https://pcpartpicker.com/product/RmsV3C/deepcool-fh-10-fan-controller-dp-f10pwm-hub,,10,,true,,Black
Deepcool SC790,https://pcpartpicker.com/product/kWpQzy/deepcool-sc790-fan-controller-r-sc790-bknsnn-g,,6,,false,,Black
Thermalright TL-FAN HUB X4,https://pcpartpicker.com/product/Gzrqqs/thermalright-tl-fan-hub-x4-fan-controller-tl-fan-hub-x4,,4,,true,,Black
Kingwin FPX-001,https://pcpartpicker.com/product/xDphP6/kingwin-fan-controller-fpx001,20.99,4,8,false,3.5,
EZDIY-FAB US-PWM fan hub,https://pcpartpicker.com/product/Wf8Pxr/ezdiy-fab-us-pwm-fan-hub-fan-controller-us-pwm-fan-hub,,10,,true,,Black
Aerocool Touch 2100,https://pcpartpicker.com/product/DscMnQ/aerocool-fan-controller-en51965,,5,25,false,"2,5.25",
NZXT Sentry Mix 2,https://pcpartpicker.com/product/tWW9TW/nzxt-fan-controller-senmix2,,6,30,true,5.25,
Thermaltake Commander F6 RGB,https://pcpartpicker.com/product/9w3H99/thermaltake-commander-f6-rgb-fan-controller-ac-024-bn1nan-a1,,6,0.03,true,5.25,Black
Lamptron FC-CF525-BK,https://pcpartpicker.com/product/bzmLrH/lamptron-fan-controller-fccf525bk,,5,60,true,5.25,
NZXT Sentry LX,https://pcpartpicker.com/product/KNfp99/nzxt-fan-controller-sen001lx,,5,6,false,"2,5.25",
NZXT SENTRY 3,https://pcpartpicker.com/product/dQ8Zxr/nzxt-fan-controller-acsen3b1,,5,15,true,5.25,
Aerocool F6XT,https://pcpartpicker.com/product/B6TmP6/aerocool-fan-controller-f6xt,,6,12,true,5.25,
BitFenix Recon (Black),https://pcpartpicker.com/product/6qDwrH/bitfenix-fan-controller-bfarcnksrp,,5,10,true,5.25,
Lamptron FC-FANATIC-B,https://pcpartpicker.com/product/2YphP6/lamptron-fan-controller-fcfanaticb,,5,60,true,5.25,
Silverstone FP59B,https://pcpartpicker.com/product/FXqBD3/silverstone-fp59b-fan-controller-sst-fp59b,,1,,false,5.25,Black
Aerocool CoolTouch E,https://pcpartpicker.com/product/JTvD4D/aerocool-cooltouch-e-fan-controller-en51547,,4,20,true,5.25,Black
NZXT Sentry 2,https://pcpartpicker.com/product/9f6BD3/nzxt-fan-controller-sentry2,,5,10,false,5.25,
Aerocool CoolTouch-R Black,https://pcpartpicker.com/product/ZB8Zxr/aerocool-fan-controller-cooltouchrblack,,4,20,true,5.25,
Aerocool Touch-1000,https://pcpartpicker.com/product/j8Lypg/aerocool-fan-controller-touch1000,,4,,false,5.25,
Aerocool Touch 2000,https://pcpartpicker.com/product/J3qdnQ/aerocool-fan-controller-touch2000,,4,6,false,"2,5.25",
Lamptron FC6,https://pcpartpicker.com/product/L67wrH/lamptron-fan-controller-fcfc6b,,4,10,true,5.25,
Lamptron FC9,https://pcpartpicker.com/product/NfJwrH/lamptron-fan-controller-fcfc9b,,4,50,true,5.25,
Lamptron FC-FC5V3-BK,https://pcpartpicker.com/product/2GvRsY/lamptron-fan-controller-fcfc5v3bk,,6,30,true,5.25,
NZXT Sentry Mesh,https://pcpartpicker.com/product/MLh9TW/nzxt-fan-controller-sentrymesh,,5,30,false,5.25,
Aerocool V12XT,https://pcpartpicker.com/product/jXg323/aerocool-fan-controller-v12xt,,4,6,false,"2,5.25",
BitFenix Recon (White),https://pcpartpicker.com/product/FTXfrH/bitfenix-fan-controller-bfarcnwsrp,,5,10,true,5.25,
Gelid Solutions SpeedTouch6,https://pcpartpicker.com/product/kWV48d/gelid-solutions-fan-controller-fclc01speedtouch6,,6,30,true,5.25,
Thermaltake AC-001-BN1NAN-A1,https://pcpartpicker.com/product/QGW9TW/thermaltake-fan-controller-ac001bn1nana1,,5,8,true,5.25,
Lamptron Fanatic,https://pcpartpicker.com/product/XgR48d/lamptron-fan-controller-fcfanatics,,5,60,true,5.25,
Lamptron FC2,https://pcpartpicker.com/product/67kD4D/lamptron-fan-controller-fcfc2s,,6,45,true,5.25,
Lamptron FC Touch,https://pcpartpicker.com/product/fJsKHx/lamptron-fan-controller-fcfctb,,6,30,true,5.25,
Kingwin FPX-003,https://pcpartpicker.com/product/MVh9TW/kingwin-fan-controller-fpx003,,4,8,false,5.25,
Lamptron CW611-B,https://pcpartpicker.com/product/4YyFf7/lamptron-fan-controller-cw611b,,6,36,false,5.25,
Lamptron FC-FC2-B,https://pcpartpicker.com/product/jJvRsY/lamptron-fan-controller-fcfc2b,,6,45,false,5.25,
Lamptron FC-FC5V2-B,https://pcpartpicker.com/product/w7ckcf/lamptron-fan-controller-fcfc5v2b,,4,30,false,5.25,
Lamptron FC-CM615-BK,https://pcpartpicker.com/product/WLW9TW/lamptron-fan-controller-fccm615bk,,6,15,false,5.25,
Aerocool Strike-X-X1000,https://pcpartpicker.com/product/YD4NnQ/aerocool-fan-controller-en55536,,5,25,false,5.25,
Deepcool ROCK MASTER V3.0,https://pcpartpicker.com/product/8CBv6h/deepcool-rock-master-v30-fan-controller-rock-master-v30,,4,10,true,5.25,
Kingwin FPX-005,https://pcpartpicker.com/product/qnQRsY/kingwin-fan-controller-fpx005,,5,8,true,5.25,
Scythe Kaze Master Flat II,https://pcpartpicker.com/product/h3yV3C/scythe-kaze-master-flat-ii-fan-controller-km08-bk,,4,36,false,5.25,Black
Aerocool X-Vision,https://pcpartpicker.com/product/rGW9TW/aerocool-x-vision-fan-controller-x-vision,,5,0.008,false,5.25,Black
Aerocool CoolTouch E,https://pcpartpicker.com/product/vNJp99/aerocool-cooltouch-e-fan-controller-en51844,,4,20,true,5.25,White
